target,iteration,red_count,red_event_count,red_event_rate
broad_PLP_to_non_PLP_or_missing,186,6,2,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,187,2,1,0.5
broad_PLP_to_non_PLP_or_missing,188,1,1,1.0
broad_PLP_to_non_PLP_or_missing,189,4,2,0.5
broad_PLP_to_non_PLP_or_missing,190,8,5,0.625
broad_PLP_to_non_PLP_or_missing,191,2,1,0.5
broad_PLP_to_non_PLP_or_missing,192,3,3,1.0
broad_PLP_to_non_PLP_or_missing,193,2,0,0.0
broad_PLP_to_non_PLP_or_missing,194,1,1,1.0
broad_PLP_to_non_PLP_or_missing,195,6,5,0.8333333333333334
broad_PLP_to_non_PLP_or_missing,196,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,197,5,1,0.2
broad_PLP_to_non_PLP_or_missing,198,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,199,2,2,1.0
broad_PLP_to_non_PLP_or_missing,200,6,3,0.5
broad_PLP_to_non_PLP_or_missing,201,2,1,0.5
broad_PLP_to_non_PLP_or_missing,202,6,3,0.5
broad_PLP_to_non_PLP_or_missing,203,6,3,0.5
broad_PLP_to_non_PLP_or_missing,204,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,205,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,206,5,2,0.4
broad_PLP_to_non_PLP_or_missing,207,2,2,1.0
broad_PLP_to_non_PLP_or_missing,208,2,1,0.5
broad_PLP_to_non_PLP_or_missing,209,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,210,5,3,0.6
broad_PLP_to_non_PLP_or_missing,211,7,3,0.42857142857142855
broad_PLP_to_non_PLP_or_missing,212,4,2,0.5
broad_PLP_to_non_PLP_or_missing,213,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,214,6,3,0.5
broad_PLP_to_non_PLP_or_missing,215,4,2,0.5
broad_PLP_to_non_PLP_or_missing,216,4,4,1.0
broad_PLP_to_non_PLP_or_missing,217,5,2,0.4
broad_PLP_to_non_PLP_or_missing,218,5,4,0.8
broad_PLP_to_non_PLP_or_missing,219,5,2,0.4
broad_PLP_to_non_PLP_or_missing,220,6,3,0.5
broad_PLP_to_non_PLP_or_missing,221,4,3,0.75
broad_PLP_to_non_PLP_or_missing,222,10,6,0.6
broad_PLP_to_non_PLP_or_missing,223,2,1,0.5
broad_PLP_to_non_PLP_or_missing,224,6,1,0.16666666666666666
broad_PLP_to_non_PLP_or_missing,225,6,1,0.16666666666666666
broad_PLP_to_non_PLP_or_missing,226,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,227,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,228,5,2,0.4
broad_PLP_to_non_PLP_or_missing,229,3,0,0.0
broad_PLP_to_non_PLP_or_missing,230,7,5,0.7142857142857143
broad_PLP_to_non_PLP_or_missing,231,4,2,0.5
broad_PLP_to_non_PLP_or_missing,232,4,2,0.5
broad_PLP_to_non_PLP_or_missing,233,4,2,0.5
broad_PLP_to_non_PLP_or_missing,234,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,235,2,1,0.5
broad_PLP_to_non_PLP_or_missing,236,1,0,0.0
broad_PLP_to_non_PLP_or_missing,237,2,0,0.0
broad_PLP_to_non_PLP_or_missing,238,5,2,0.4
broad_PLP_to_non_PLP_or_missing,239,4,3,0.75
broad_PLP_to_non_PLP_or_missing,240,2,1,0.5
broad_PLP_to_non_PLP_or_missing,241,2,0,0.0
broad_PLP_to_non_PLP_or_missing,242,3,3,1.0
broad_PLP_to_non_PLP_or_missing,243,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,244,4,1,0.25
