target,method,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,confidence_interval_method,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high
broad_PLP_to_non_PLP_or_missing,global_AF_gt_1e-4,1,0,112,1556,1.0,0.008849557522123894,1.0,0.0,0.9911504424778761,Wilson 95%,0.20654329147389294,1.0,0.0015638358136017966,0.04843205606052523,0.9975371858270738,1.0,0.0,0.002462814172926277,0.9515679439394749,0.9984361641863984
broad_PLP_to_non_PLP_or_missing,popmax_or_global_AF_gt_1e-5,17,170,96,1386,0.09090909090909091,0.1504424778761062,0.890745501285347,0.10925449871465295,0.8495575221238938,Wilson 95%,0.05753352035574911,0.14075448393681603,0.09610006998084222,0.2277708800917347,0.8742718131643479,0.9052945222892008,0.09470547771079922,0.1257281868356522,0.7722291199082653,0.9038999300191578
broad_PLP_to_non_PLP_or_missing,popmax_or_global_AF_gt_1e-4,4,15,109,1541,0.21052631578947367,0.035398230088495575,0.9903598971722365,0.009640102827763496,0.9646017699115044,Wilson 95%,0.08507538491591576,0.43334714240266087,0.0138499544653361,0.08749751082100028,0.9841550962739257,0.9941493674613665,0.005850632538633568,0.01584490372607434,0.9125024891789997,0.9861500455346639
broad_PLP_to_non_PLP_or_missing,AF_gt_1e-5_and_AC_ge_5,4,36,109,1520,0.1,0.035398230088495575,0.9768637532133676,0.02313624678663239,0.9646017699115044,Wilson 95%,0.03957888759557486,0.23052074380473897,0.0138499544653361,0.08749751082100028,0.9681367609394348,0.9832418918673632,0.016758108132636833,0.03186323906056535,0.9125024891789997,0.9861500455346639
broad_PLP_to_non_PLP_or_missing,AF_gt_1e-5_and_AC_ge_10,4,34,109,1522,0.10526315789473684,0.035398230088495575,0.9781491002570694,0.021850899742930592,0.9646017699115044,Wilson 95%,0.041701897932665793,0.24130831200194466,0.0138499544653361,0.08749751082100028,0.9696213017799367,0.9843217139724321,0.01567828602756793,0.030378698220063376,0.9125024891789997,0.9861500455346639
broad_PLP_to_non_PLP_or_missing,AF_gt_1e-5_and_AC_ge_20,2,25,111,1531,0.07407407407407407,0.017699115044247787,0.9839331619537275,0.016066838046272493,0.9823008849557522,Wilson 95%,0.020554221697383523,0.2336997729073062,0.004867129823876968,0.06224595318765318,0.9763888168082296,0.9890938321992081,0.0109061678007919,0.023611183191770427,0.9377540468123469,0.9951328701761231
broad_PLP_to_non_PLP_or_missing,AF_gt_1e-5_and_AC_ge_50,2,7,111,1549,0.2222222222222222,0.017699115044247787,0.9955012853470437,0.004498714652956298,0.9823008849557522,Wilson 95%,0.06322376231222723,0.5474166563271946,0.004867129823876968,0.06224595318765318,0.990742758481051,0.9978191570365248,0.002180842963475281,0.00925724151894909,0.9377540468123469,0.9951328701761231
broad_PLP_to_non_PLP_or_missing,VITAL_red,1,1,112,1555,0.5,0.008849557522123894,0.9993573264781491,0.0006426735218508997,0.9911504424778761,Wilson 95%,0.09452865480086614,0.9054713451991339,0.0015638358136017966,0.04843205606052523,0.9963684581028764,0.9998865462514119,0.00011345374858812325,0.0036315418971235953,0.9515679439394749,0.9984361641863984
expanded_PLP_to_non_PLP_or_review_change,global_AF_gt_1e-5,13,22,420,1214,0.37142857142857144,0.03002309468822171,0.982200647249191,0.01779935275080906,0.9699769053117783,Wilson 95%,0.23165607368891059,0.5366335951197893,0.017627962170367422,0.050684213226847505,0.973196493297069,0.988216642058286,0.011783357941714003,0.026803506702930923,0.9493157867731525,0.9823720378296326
expanded_PLP_to_non_PLP_or_review_change,global_AF_gt_1e-4,1,0,432,1236,1.0,0.0023094688221709007,1.0,0.0,0.9976905311778291,Wilson 95%,0.20654329147389294,1.0,0.0004077838600450613,0.012964568956170245,0.9969015396805527,1.0,0.0,0.0030984603194472576,0.9870354310438298,0.9995922161399551
expanded_PLP_to_non_PLP_or_review_change,popmax_or_global_AF_gt_1e-5,67,120,366,1116,0.3582887700534759,0.15473441108545036,0.9029126213592233,0.0970873786407767,0.8452655889145496,Wilson 95%,0.2930507452314751,0.4292320274973218,0.12372064539488789,0.1918207316168253,0.8851362376842601,0.9181921874952145,0.0818078125047855,0.11486376231573994,0.8081792683831747,0.8762793546051121
expanded_PLP_to_non_PLP_or_review_change,popmax_or_global_AF_gt_1e-4,11,8,422,1228,0.5789473684210527,0.025404157043879907,0.9935275080906149,0.006472491909385114,0.9745958429561201,Wilson 95%,0.36275551465160105,0.7685837960796962,0.014243211797690709,0.04491232650269094,0.9872799290950981,0.9967167362853827,0.003283263714617312,0.012720070904901827,0.9550876734973092,0.9857567882023094
expanded_PLP_to_non_PLP_or_review_change,AF_gt_1e-5_and_AC_ge_5,14,26,419,1210,0.35,0.03233256351039261,0.9789644012944984,0.021035598705501618,0.9676674364896074,Wilson 95%,0.2213433317104915,0.5049440300646263,0.019355641937967478,0.05353485200766407,0.9693557370370868,0.9856049611682322,0.014395038831767735,0.03064426296291313,0.946465147992336,0.9806443580620325
expanded_PLP_to_non_PLP_or_review_change,AF_gt_1e-5_and_AC_ge_10,14,24,419,1212,0.3684210526315789,0.03233256351039261,0.9805825242718447,0.019417475728155338,0.9676674364896074,Wilson 95%,0.23384013155413794,0.5271632717573987,0.019355641937967478,0.05353485200766407,0.9712695618648557,0.9869173549154813,0.013082645084518644,0.028730438135144247,0.946465147992336,0.9806443580620325
expanded_PLP_to_non_PLP_or_review_change,AF_gt_1e-5_and_AC_ge_20,9,18,424,1218,0.3333333333333333,0.020785219399538105,0.9854368932038835,0.014563106796116505,0.9792147806004619,Wilson 95%,0.1864305444359335,0.5217558012789452,0.010972817698743528,0.039026083504804854,0.9770969679292345,0.9907686045761563,0.009231395423843596,0.02290303207076539,0.9609739164951951,0.9890271823012564
expanded_PLP_to_non_PLP_or_review_change,AF_gt_1e-5_and_AC_ge_50,3,6,430,1230,0.3333333333333333,0.006928406466512702,0.9951456310679612,0.0048543689320388345,0.9930715935334873,Wilson 95%,0.12058159868274293,0.6458026525009102,0.0023589815591589323,0.020170008353889643,0.9894494964259838,0.997773387529515,0.002226612470484975,0.010550503574016191,0.9798299916461104,0.9976410184408411
expanded_PLP_to_non_PLP_or_review_change,VITAL_red,2,0,431,1236,1.0,0.004618937644341801,1.0,0.0,0.9953810623556582,Wilson 95%,0.34237195288961925,1.0,0.0012675679951587885,0.01668310336947315,0.9969015396805527,1.0,0.0,0.0030984603194472576,0.9833168966305268,0.9987324320048412
