target,method,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,confidence_interval_method,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high
broad_PLP_to_non_PLP_or_missing,global_AF_gt_1e-4,2,8,117,2873,0.2,0.01680672268907563,0.9972231863936133,0.0027768136063866713,0.9831932773109243,Wilson 95%,0.056680947980693314,0.5098431532792765,0.004621078613443866,0.059213974007166756,0.9945298305222311,0.9985922875171093,0.0014077124828906838,0.005470169477768785,0.9407860259928332,0.9953789213865561
broad_PLP_to_non_PLP_or_missing,popmax_or_global_AF_gt_1e-5,24,355,95,2526,0.0633245382585752,0.20168067226890757,0.8767788962165914,0.12322110378340854,0.7983193277310925,Wilson 95%,0.04291947649587448,0.09249318503307118,0.13944089576973434,0.2825790062829905,0.86427215452273,0.8882821624976568,0.11171783750234318,0.13572784547727,0.7174209937170096,0.8605591042302657
broad_PLP_to_non_PLP_or_missing,popmax_or_global_AF_gt_1e-4,5,75,114,2806,0.0625,0.04201680672268908,0.973967372440125,0.026032627559875045,0.957983193277311,Wilson 95%,0.026988977697985535,0.1381032915335177,0.018078207847971574,0.0946002333315637,0.9674913646840951,0.9791810626685887,0.02081893733141131,0.03250863531590492,0.9053997666684364,0.9819217921520285
broad_PLP_to_non_PLP_or_missing,AF_gt_1e-5_and_AC_ge_5,10,113,109,2768,0.08130081300813008,0.08403361344537816,0.9607775078097883,0.03922249219021173,0.9159663865546218,Wilson 95%,0.04475838884502016,0.14320518146629724,0.04628430944499089,0.14779977933275218,0.9530534616385914,0.9672743650261378,0.03272563497386215,0.04694653836140866,0.8522002206672478,0.9537156905550092
broad_PLP_to_non_PLP_or_missing,AF_gt_1e-5_and_AC_ge_10,10,102,109,2779,0.08928571428571429,0.08403361344537816,0.9645956265185699,0.03540437348143006,0.9159663865546218,Wilson 95%,0.04922099887839204,0.15659107554046958,0.04628430944499089,0.14779977933275218,0.9572049595508426,0.9707489357340838,0.029251064265916095,0.042795040449157336,0.8522002206672478,0.9537156905550092
broad_PLP_to_non_PLP_or_missing,AF_gt_1e-5_and_AC_ge_20,9,78,110,2803,0.10344827586206896,0.07563025210084033,0.9729260673377299,0.027073932662270046,0.9243697478991597,Wilson 95%,0.055384483281967004,0.18505161647849516,0.040296784434261525,0.13750617482383995,0.9663403297296339,0.9782522607266323,0.0217477392733677,0.033659670270365996,0.8624938251761601,0.9597032155657385
broad_PLP_to_non_PLP_or_missing,AF_gt_1e-5_and_AC_ge_50,4,33,115,2848,0.10810810810810811,0.03361344537815126,0.988545643873655,0.011454356126345018,0.9663865546218487,Wilson 95%,0.04285120520506268,0.24708846415167163,0.013147540181404155,0.08324977147848957,0.9839578490295153,0.9918322948730129,0.00816770512698709,0.0160421509704846,0.9167502285215104,0.9868524598185958
broad_PLP_to_non_PLP_or_missing,VITAL_red,1,12,118,2869,0.07692307692307693,0.008403361344537815,0.99583477959042,0.004165220409580007,0.9915966386554622,Wilson 95%,0.013710066379696323,0.3331453392824736,0.0014849048183694993,0.04606901828259955,0.9927332961477991,0.9976157060296514,0.0023842939703485532,0.007266703852200871,0.9539309817174007,0.9985150951816306
expanded_PLP_to_non_PLP_or_review_change,global_AF_gt_1e-5,40,65,754,2141,0.38095238095238093,0.05037783375314862,0.9705349048050771,0.02946509519492294,0.9496221662468514,Wilson 95%,0.293823651390926,0.4764847600987984,0.037211888752547884,0.067873631982395,0.9626188898771855,0.9768149591371513,0.023185040862848783,0.03738111012281463,0.9321263680176051,0.9627881112474521
expanded_PLP_to_non_PLP_or_review_change,global_AF_gt_1e-4,2,8,792,2198,0.2,0.0025188916876574307,0.9963735267452403,0.003626473254759746,0.9974811083123426,Wilson 95%,0.056680947980693314,0.5098431532792765,0.0006910284881226983,0.009137488851660035,0.9928599661007151,0.9981612908074724,0.0018387091925276453,0.0071400338992849074,0.9908625111483401,0.9993089715118774
expanded_PLP_to_non_PLP_or_review_change,popmax_or_global_AF_gt_1e-5,156,223,638,1983,0.41160949868073876,0.1964735516372796,0.8989120580235721,0.10108794197642793,0.8035264483627204,Wilson 95%,0.36319129451882093,0.46180160071513476,0.17032548901410396,0.22554456840080142,0.8856309610246769,0.9108062134768802,0.08919378652311981,0.11436903897532318,0.7744554315991986,0.829674510985896
expanded_PLP_to_non_PLP_or_review_change,popmax_or_global_AF_gt_1e-4,32,48,762,2158,0.4,0.04030226700251889,0.9782411604714415,0.021758839528558477,0.9596977329974811,Wilson 95%,0.29961659273441493,0.5095473545185001,0.028690603159866133,0.056340811597148294,0.971270254021811,0.9835493131363056,0.01645068686369444,0.028729745978188885,0.9436591884028517,0.971309396840134
expanded_PLP_to_non_PLP_or_review_change,AF_gt_1e-5_and_AC_ge_5,50,73,744,2133,0.4065040650406504,0.06297229219143577,0.9669084315503174,0.03309156844968268,0.9370277078085643,Wilson 95%,0.32380845131879504,0.494863025546839,0.0480899603734265,0.08206319283392696,0.9585946407074082,0.9735988703569143,0.026401129643085754,0.04140535929259181,0.9179368071660732,0.9519100396265736
expanded_PLP_to_non_PLP_or_review_change,AF_gt_1e-5_and_AC_ge_10,46,66,748,2140,0.4107142857142857,0.05793450881612091,0.970081595648232,0.029918404351767906,0.9420654911838791,Wilson 95%,0.3240369028320017,0.5033135481286204,0.04371301197059442,0.0764130882477948,0.9621144351524865,0.9764143716180983,0.023585628381901754,0.037885564847513424,0.9235869117522052,0.9562869880294055
expanded_PLP_to_non_PLP_or_review_change,AF_gt_1e-5_and_AC_ge_20,35,52,759,2154,0.40229885057471265,0.04408060453400504,0.9764279238440616,0.02357207615593835,0.9559193954659949,Wilson 95%,0.3055065555931764,0.5073545124637492,0.031863676404958165,0.06068802809377944,0.96922021303254,0.9819791851505695,0.01802081484943049,0.030779786967459918,0.9393119719062205,0.9681363235950419
expanded_PLP_to_non_PLP_or_review_change,AF_gt_1e-5_and_AC_ge_50,15,22,779,2184,0.40540540540540543,0.018891687657430732,0.9900271985494107,0.009972801450589302,0.9811083123425692,Wilson 95%,0.26346295839940137,0.565143168686707,0.011481392243135814,0.030935047310780662,0.9849457289241241,0.9934049365715385,0.006595063428461529,0.015054271075875796,0.9690649526892193,0.9885186077568643
expanded_PLP_to_non_PLP_or_review_change,VITAL_red,11,2,783,2204,0.8461538461538461,0.013853904282115869,0.99909338168631,0.0009066183136899365,0.9861460957178841,Wilson 95%,0.5776482949136899,0.9567427368172621,0.007753036392690938,0.024636350172261304,0.996700167826504,0.999751342544194,0.00024865745580603376,0.0032998321734959038,0.9753636498277388,0.9922469636073091
